word,next_review_date,interval_days,ease,consecutive_correct,total_wrong,last_seen,last_verdict,priority,notes
barely,2026-04-25,1,2.50,0,1,2026-04-24,partial,2,starter_seed
strew,2026-04-27,3,2.50,1,0,2026-04-24,correct,1,starter_seed
encapsulate,2026-04-27,3,2.50,1,0,2026-04-24,correct,1,starter_seed
unwieldy,2026-04-27,3,2.50,1,0,2026-04-24,correct,1,starter_seed; word_normalized_from_session=unwieldly
subsequent,2026-04-27,3,2.50,1,0,2026-04-24,correct,1,starter_seed
striking,2026-04-25,1,2.50,0,1,2026-04-24,wrong,1,starter_seed
rigid,2026-04-27,3,2.50,1,0,2026-04-24,correct,1,starter_seed
set,2026-04-27,3,2.50,1,0,2026-04-24,correct,1,starter_seed
exude,2026-04-25,1,2.50,0,1,2026-04-24,partial,2,starter_seed
precede,2026-04-27,3,2.50,1,0,2026-04-24,correct,1,starter_seed
article,2026-04-27,3,2.50,1,0,2026-04-24,correct,1,starter_seed
rudiments,2026-04-25,1,2.50,0,1,2026-04-24,partial,2,starter_seed
mortality,2026-04-27,3,2.50,1,0,2026-04-24,correct,1,starter_seed
constrain,2026-04-25,1,2.50,0,1,2026-04-24,wrong,1,starter_seed
subject,2026-04-27,3,2.50,1,0,2026-04-24,correct,1,starter_seed
eclectic,2026-04-26,1,2.50,0,3,2026-04-25,partial,3,starter_seed
intricate,2026-04-26,1,2.50,0,3,2026-04-25,partial,3,starter_seed
potent,2026-05-09,14,2.50,3,0,2026-04-25,correct,1,starter_seed
peril,2026-04-26,1,2.50,0,3,2026-04-25,blank,3,starter_seed
palatial,2026-04-26,1,2.50,0,2,2026-04-25,partial,3,deck_import:D8
turmoil,2026-04-26,1,2.50,0,2,2026-04-25,partial,3,deck_import:D8
preeminent,2026-05-02,7,2.50,2,0,2026-04-25,correct,1,deck_import:D8
recompense,2026-04-28,3,2.50,1,1,2026-04-25,correct,1,deck_import:D8
crude,2026-04-26,1,2.50,0,2,2026-04-25,partial,3,deck_import:D8
proliferate,2026-05-02,7,2.50,2,0,2026-04-25,correct,1,deck_import:D8
assess,2026-05-02,7,2.50,2,0,2026-04-25,correct,1,deck_import:D8
scrutiny,2026-05-02,7,2.50,2,0,2026-04-25,correct,1,deck_import:D8
acute,2026-05-02,7,2.50,2,0,2026-04-25,correct,1,deck_import:D8
inadvertently,2026-04-28,3,2.50,1,1,2026-04-25,correct,1,deck_import:D8
arduous,2026-04-26,1,2.50,0,3,2026-04-25,blank,3,deck_import:D8
materialize,2026-04-26,1,2.50,0,1,2026-04-25,partial,2,deck_import:D8
demise,2026-05-02,7,2.50,2,0,2026-04-25,correct,1,deck_import:D8
deem,2026-04-28,3,2.50,1,1,2026-04-25,correct,1,deck_import:D8
profuse,2026-04-26,1,2.50,0,2,2026-04-25,partial,2,deck_import:D8
ornament,2026-05-02,7,2.50,2,0,2026-04-25,correct,1,deck_import:D8
demolish,2026-04-28,3,2.50,1,1,2026-04-25,correct,1,deck_import:D8
voracious,2026-05-02,7,2.50,2,0,2026-04-25,correct,1,deck_import:D8
reform,2026-05-02,7,2.50,2,0,2026-04-25,correct,1,deck_import:D8
inclination,2026-05-02,7,2.50,2,0,2026-04-25,correct,1,deck_import:D8
constituent,2026-04-28,3,2.50,1,1,2026-04-25,correct,1,deck_import:D8
insolent,2026-04-26,1,2.50,0,2,2026-04-25,blank,2,deck_import:D8
be accompanied by,2026-05-02,7,2.50,2,0,2026-04-25,correct,1,deck_import:D8; entry_type=phrase
broadly,2026-04-28,3,2.50,1,0,2026-04-25,correct,1,session_import
whereby,2026-04-28,3,2.50,1,0,2026-04-25,correct,1,session_import
liberate,2026-04-28,3,2.50,1,0,2026-04-25,correct,1,session_import
