word,pos,core_meaning_ko,alt_meanings_ko,example_en,example_ko,source_session,status,notes,entry_type,deck_tags,source_files,accepted_paraphrases_ko,grading_notes,common_confusions_ko,evidence_hint
"barely","adv","간신히","거의 ~아니게; 겨우","The plant barely survived the winter.","그 식물은 겨울을 간신히 버텼다.","2026-04-23_test_01","active","starter_seed","word","","","간신히; 가까스로; 겨우; 거의 ~않다; 거의 ~하지 못하다","full credit은 간신히/겨우/거의 ~않다의 부정-최소량 뉘앙스를 보여야 함; 단순히 거의 하지 않는은 문맥에 따라 partial","hardly/scarcely 계열; barely와 rarely 혼동; 거의 안 한다만 쓰면 간신히 생존했다의 의미가 약함","core_meaning_ko=간신히; alt_meanings_ko=거의 ~아니게/겨우; example_en=The plant barely survived the winter."
"strew","v","흩뿌리다","흩어 놓다; 널리 퍼뜨리다","They strewed flowers along the path.","그들은 길을 따라 꽃을 흩뿌렸다.","2026-04-23_test_01","active","starter_seed","word","","","","","",""
"encapsulate","v","요약하다","핵심을 담다; 압축해 보여 주다","This chart encapsulates the main argument.","이 도표는 핵심 주장을 요약한다.","2026-04-23_test_01","active","starter_seed","word","","","","","",""
"unwieldy","adj","다루기 힘든","거추장스러운; 조작하기 불편한","The box was too unwieldy to carry alone.","그 상자는 혼자 옮기기에는 너무 다루기 힘들었다.","2026-04-23_test_01","active","starter_seed","word","","","다루기 힘든; 거추장스러운; 조작하기 불편한; 감당하기 어려운","크기/무게/복잡성 때문에 다루기 어렵다는 뜻이면 correct; 단순히 무거운은 too narrow partial","heavy=무거운으로만 답하면 범위가 좁음; awkward는 문맥상 가능하지만 어색한만 쓰면 불충분; unwieldly는 철자 오류","core_meaning_ko=다루기 힘든; alt_meanings_ko=거추장스러운/조작하기 불편한; example_en=The box was too unwieldy to carry alone."
"subsequent","adj","이후의","그다음의; 뒤이은","Subsequent studies confirmed the result.","후속 연구들이 그 결과를 확인했다.","2026-04-23_test_01","active","starter_seed","word","","","","","",""
"striking","adj","두드러진","눈에 띄는; 인상적인","There is a striking difference between the two groups.","두 집단 사이에는 두드러진 차이가 있다.","2026-04-23_test_01","active","starter_seed","word","","","두드러진; 눈에 띄는; 현저한; 인상적인","noticeable/prominent 의미가 핵심; 극심한/격렬한처럼 강도만 말하면 nuance_mismatch","극심한; 강렬한; 때리는; 파업 중인과 혼동","core_meaning_ko=두드러진; alt_meanings_ko=눈에 띄는/인상적인; example_en=There is a striking difference between the two groups."
"rigid","adj","엄격한","경직된; 융통성 없는","The school maintained rigid rules.","그 학교는 엄격한 규칙을 유지했다.","2026-04-23_test_01","active","starter_seed","word","","","","","",""
"set","v/adj/n","놓다; 정하다","고정하다; 굳은; 한 벌; 집합","We need to set a clear goal.","우리는 분명한 목표를 정해야 한다.","2026-04-23_test_01","active","polysemous_seed","word","","","정하다; 놓다; 고정하다; 굳은; 한 벌; 집합; 설정하다","다의어라 example_en의 set a clear goal에서는 정하다/설정하다가 주 sense; 세트/집합만 쓰면 해당 문맥에서는 polysemy_gap","세트; 집합; 해가 지다; 굳다 중 문맥 없는 단일 답은 불충분할 수 있음","pos=v/adj/n; core_meaning_ko=놓다/정하다; alt_meanings_ko=고정하다/굳은/한 벌/집합; example_en=We need to set a clear goal."
"exude","v","발산하다","배어 나오다; 풍기다; 드러내다","She exudes confidence during presentations.","그녀는 발표할 때 자신감을 발산한다.","2026-04-23_test_01","active","starter_seed","word","","","","","",""
"precede","v","~에 앞서다","선행하다","A short introduction preceded the lecture.","짧은 소개가 강의에 앞섰다.","2026-04-23_test_01","active","starter_seed","word","","","","","",""
"article","n","기사; 물품","관사; 조항; 논문","I read an article about climate policy.","나는 기후 정책에 관한 기사를 읽었다.","2026-04-23_test_01","active","polysemous_seed","word","","","기사; 논문; 관사; 조항; 물품","example_en의 read an article about는 기사/논문 sense; 물품/관사/조항만 답하면 문맥에 따라 polysemy_gap","물건; 관사; 조항만 단독 답; artifact와 혼동","pos=n; core_meaning_ko=기사/물품; alt_meanings_ko=관사/조항/논문; example_en=I read an article about climate policy."
"rudiments","n","기초","기본 원리; 초보 단계","Students learn the rudiments of grammar first.","학생들은 먼저 문법의 기초를 배운다.","2026-04-23_test_01","active","starter_seed","word","","","","","",""
"mortality","n","사망률; 죽음","필멸성","The report tracked infant mortality over time.","그 보고서는 시간에 따른 영아 사망률을 추적했다.","2026-04-23_test_01","active","starter_seed","word","","","사망률; 죽음; 필멸성; 사망","통계/infant mortality 문맥은 사망률이 주 sense; 죽음/사망만 쓰면 문맥상 partial일 수 있음","morality=도덕성과 혼동; fatality=사망자/사망 사건과 혼동","core_meaning_ko=사망률/죽음; alt_meanings_ko=필멸성; example_en=The report tracked infant mortality over time."
"constrain","v","제약하다","억누르다; 제한하다","Limited funding constrained the project.","제한된 자금이 그 프로젝트를 제약했다.","2026-04-23_test_01","active","starter_seed","word","","","제약하다; 제한하다; 억누르다; 속박하다; 구속하다","limit/restrict 의미가 핵심; 강요하다는 compel/force 쪽이라 wrong","compel/force=강요하다와 혼동; restrain과 유사하지만 물리적 억제만으로 좁히면 partial","core_meaning_ko=제약하다; alt_meanings_ko=억누르다/제한하다; example_en=Limited funding constrained the project."
"subject","n/v","주제; 대상","과목; ~을 겪게 하다; 복종시키다","The topic was too sensitive to raise as a subject.","그 주제는 화제로 꺼내기에는 너무 민감했다.","2026-04-23_test_01","active","polysemous_seed","word","","","주제; 대상; 과목; 피험자; ~을 겪게 하다; 복종시키다","example_en의 subject는 주제/화제 sense; subject to 구조는 겪게 하다/따르게 하다 sense; 주어만 쓰면 문맥상 불충분","주어; 국민/신하; 과목만 단독 답하면 polysemy_gap 가능","pos=n/v; core_meaning_ko=주제/대상; alt_meanings_ko=과목/~을 겪게 하다/복종시키다; example_en=The topic was too sensitive to raise as a subject."
